序号,字,拼音,组词1,组词1拼音,组词2,组词2拼音,备注
0,的,de / dī / dí,真的,zhēn de,的话,de huà,
1,是,shì,不是,bú shì,就是,jiù shì,
2,一,yī,一个,yí gè,一些,yì xiē,
3,在,zài,现在,xiàn zài,存在,cún zài,
4,不,bù,不是,bú shì,不能,bù néng,
5,人,rén,人民,rén mín,人们,rén men,
6,有,yǒu,有人,yǒu rén,没有,méi yǒu,
7,了,le / liǎo / liào,不了,bù liǎo,为了,wèi le,
8,我,wǒ,我们,wǒ men,我国,wǒ guó,
9,国,guó,中国,zhōng guó,国家,guó jiā,
10,这,zhè / zhèi,这是,zhè shì,这个,zhè ge,
11,为,wèi / wéi,为了,wèi le,因为,yīn wèi,
12,中,zhōng / zhòng,中国,zhōng guó,其中,qí zhōng,
13,个,gè / gě,一个,yí gè,这个,zhè ge,
14,大,dà / dài,大学,dà xué,大家,dà jiā,
15,会,huì / kuài,不会,bú huì,大会,dà huì,
16,们,men,我们,wǒ men,人们,rén men,
17,他,tā,他们,tā men,他人,tā rén,
18,来,lái,起来,qǐ lái,出来,chū lái,
19,和,hé / hè / hú,和平,hé píng,和谐,hé xié,
20,年,nián,一年,yī nián,年代,nián dài,
21,上,shàng / shǎng,上海,shàng hǎi,以上,yǐ shàng,
22,以,yǐ,以上,yǐ shàng,以来,yǐ lái,
23,要,yào / yāo,不要,bú yào,需要,xū yào,
24,到,dào,不到,bú dào,看到,kàn dào,
25,时,shí,有时,yǒu shí,时间,shí jiān,
26,对,duì,对于,duì yú,反对,fǎn duì,
27,么,me / ma,这么,zhè me,什么,shén me,
28,能,néng,不能,bù néng,可能,kě néng,
29,你,nǐ,你们,nǐ men,你好,ní hǎo,
30,就,jiù,就是,jiù shì,就要,jiù yào,
31,发,fā / fà,发展,fā zhǎn,发生,fā shēng,
32,可,kě / kè,可以,ké yǐ,可能,kě néng,
33,地,dì / de,地区,dì qū,地方,dì fāng,
34,生,shēng,发生,fā shēng,生活,shēng huó,
35,家,jiā,国家,guó jiā,大家,dà jiā,
36,出,chū,出来,chū lái,发出,fā chū,
37,也,yě,也许,yé xǔ,再也,zài yě,
38,说,shuō / shuì,来说,lái shuō,说明,shuō míng,
39,于,yú,对于,duì yú,在于,zài yú,
40,学,xué,学生,xué shēng,大学,dà xué,
41,后,hòu,以后,yǐ hòu,后来,hòu lái,
42,成,chéng,成为,chéng wéi,完成,wán chéng,
43,与,yǔ / yù / yú,与会,yù huì,参与,cān yù,
44,过,guò / guō,不过,bú guò,过来,guò lái,
45,行,xíng / háng / héng,行为,xíng wéi,进行,jìn xíng,
46,用,yòng,不用,bú yòng,使用,shǐ yòng,
47,日,rì,生日,shēng rì,日本,rì běn,
48,多,duō,多年,duō nián,多么,duō me,
49,自,zì,来自,lái zì,自我,zì wǒ,
50,现,xiàn,现在,xiàn zài,发现,fā xiàn,
51,都,dōu / dū,大都,dà dū,都行,dōu xíng,
52,没,méi / mò,没有,méi yǒu,有没有,yǒu méi yǒu,
53,作,zuò / zuō,作为,zuò wéi,作用,zuò yòng,
54,下,xià,一下,yī xià,以下,yǐ xià,
55,得,dé / de / děi,得到,dé dào,不得,bù dé,
56,开,kāi,开发,kāi fā,开始,kāi shǐ,
57,经,jīng,经过,jīng guò,已经,yǐ jīng,
58,还,hái / huán,还有,hái yǒu,还是,hái shì,
59,法,fǎ,法国,fǎ guó,无法,wú fǎ,
60,动,dòng,行动,xíng dòng,自动,zì dòng,
61,好,hǎo / hào,不好,bù hǎo,好好,háo hǎo,
62,方,fāng,地方,dì fāng,方法,fāng fǎ,
63,而,ér,而是,ér shì,而且,ér qiě,
64,公,gōng,公开,gōng kāi,公司,gōng sī,
65,子,zi / zǐ,日子,rì zi,孩子,hái zi,
66,事,shì,事件,shì jiàn,事情,shì qíng,
67,分,fēn / fèn,部分,bù fèn,分析,fēn xī,
68,之,zhī,之后,zhī hòu,之一,zhī yī,
69,民,mín,人民,rén mín,公民,gōng mín,
70,主,zhǔ,主要,zhǔ yào,民主,mín zhǔ,
71,里,lǐ,这里,zhè lǐ,公里,gōng lǐ,
72,政,zhèng,行政,xíng zhèng,政府,zhèng fǔ,
73,看,kàn / kān,看到,kàn dào,看看,kàn kàn,
74,吗,ma / má / mǎ,懂吗,dǒng ma,吗啡,mǎ fēi,
75,本,běn,日本,rì běn,本来,běn lái,
76,月,yuè,五月,wǔ yuè,月份,yuè fèn,
77,所,suǒ,所以,suǒ yǐ,所有,suó yǒu,
78,天,tiān,一天,yī tiān,天下,tiān xià,
79,新,xīn,新闻,xīn wén,重新,chóng xīn,
80,业,yè,行业,háng yè,企业,qǐ yè,
81,同,tóng / tòng,同时,tóng shí,不同,bù tóng,
82,全,quán,全国,quán guó,全民,quán mín,
83,定,dìng,一定,yí dìng,决定,jué dìng,
84,部,bù,部分,bù fèn,全部,quán bù,
85,最,zuì,最后,zuì hòu,最大,zuì dà,
86,其,qí,其他,qí tā,其中,qí zhōng,
87,进,jìn,进行,jìn xíng,进入,jìn rù,
88,如,rú,如下,rú xià,不如,bù rú,
89,前,qián,之前,zhī qián,以前,yǐ qián,
90,机,jī,机会,jī huì,机构,jī gòu,
91,美,měi,美国,měi guó,美好,méi hǎo,
92,那,nà / nā / nuó,那么,nà me,那个,nà ge,
93,当,dāng / dàng,当时,dāng shí,当地,dāng dì,
94,工,gōng,工作,gōng zuò,工业,gōng yè,
95,关,guān,关于,guān yú,有关,yǒu guān,
96,实,shí,其实,qí shí,实现,shí xiàn,
97,小,xiǎo,小时,xiǎo shí,小说,xiǎo shuō,
98,被,bèi,被动,bèi dòng,地被,dì bèi,
99,但,dàn,但是,dàn shì,不但,bú dàn,
100,因,yīn,因为,yīn wèi,因而,yīn ér,
101,长,zhǎng / cháng,部长,bù zhǎng,成长,chéng zhǎng,
102,样,yàng,这样,zhè yàng,一样,yī yàng,
103,理,lǐ,管理,guǎn lǐ,处理,chú lǐ,
104,等,děng,等等,děng děng,等于,děng yú,
105,什,shén / shí,什么,shén me,为什么,wèi shén me,
106,道,dào,大道,dà dào,知道,zhī dào,
107,去,qù,过去,guò qù,去年,qù nián,
108,些,xiē,这些,zhè xiē,一些,yì xiē,
